Top250
      1.      The Shawshank Redemption(1994)
      2.      The Godfather(1972)
      3.      The Godfather: Part II(1974)
      4.      The Dark Knight(2008)
      5.      12 Angry Men(1957)
      6.      Schindler's List(1993)
      7.      The Lord of the Rings: The Return of the King(2003)
      8.      Pulp Fiction(1994)
"      9.      Il buono, il brutto, il cattivo(1966)"
      10.      Fight Club(1999)
      11.      The Lord of the Rings: The Fellowship of the Ring(2001)
      12.      Forrest Gump(1994)
      13.      Star Wars: Episode V - The Empire Strikes Back(1980)
      14.      Inception(2010)
      15.      The Lord of the Rings: The Two Towers(2002)
      16.      One Flew Over the Cuckoo's Nest(1975)
      17.      Goodfellas(1990)
      18.      The Matrix(1999)
      19.      Avengers: Infinity War(2018)
      20.      Shichinin no samurai(1954)
      21.      Cidade de Deus(2002)
      22.      Star Wars(1977)
      23.      Se7en(1995)
      24.      The Silence of the Lambs(1991)
      25.      It's a Wonderful Life(1946)
      26.      La vita è bella(1997)
      27.      The Usual Suspects(1995)
      28.      Sen to Chihiro no kamikakushi(2001)
      29.      Saving Private Ryan(1998)
      30.      Léon(1994)
      31.      The Green Mile(1999)
      32.      Interstellar(2014)
      33.      American History X(1998)
      34.      Psycho(1960)
      35.      Once Upon a Time in the West(1968)
      36.      City Lights(1931)
      37.      Casablanca(1942)
      38.      Modern Times(1936)
      39.      The Intouchables(2011)
      40.      The Pianist(2002)
      41.      The Departed(2006)
      42.      Terminator 2: Judgment Day(1991)
      43.      Raiders of the Lost Ark(1981)
      44.      Back to the Future(1985)
      45.      Rear Window(1954)
      46.      Whiplash(2014)
      47.      Gladiator(2000)
      48.      The Lion King(1994)
      49.      The Prestige(2006)
      50.      Memento(2000)
      51.      Apocalypse Now(1979)
      52.      Alien(1979)
      53.      The Great Dictator(1940)
      54.      Nuovo Cinema Paradiso(1988)
      55.      Sunset Blvd.(1950)
      56.      Hotaru no haka(1988)
      57.      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb(1964)
      58.      The Lives of Others(2006)
      59.      Paths of Glory(1957)
      60.      The Shining(1980)
      61.      Django Unchained(2012)
      62.      WALL·E(2008)
      63.      Coco(2017)
      64.      Mononoke-hime(1997)
      65.      American Beauty(1999)
      66.      The Dark Knight Rises(2012)
      67.      Witness for the Prosecution(1957)
      68.      Oldeuboi(2003)
      69.      Aliens(1986)
      70.      Once Upon a Time in America(1984)
      71.      Das Boot(1981)
      72.      Citizen Kane(1941)
      73.      Vertigo(1958)
      74.      North by Northwest(1959)
      75.      Braveheart(1995)
      76.      Reservoir Dogs(1992)
      77.      Star Wars: Episode VI - Return of the Jedi(1983)
      78.      Kimi no na wa.(2016)
      79.      M - Eine Stadt sucht einen Mörder(1931)
      80.      Dangal(2016)
      81.      Requiem for a Dream(2000)
      82.      Amadeus(1984)
      83.      Taare Zameen Par(2007)
      84.      Amélie(2001)
      85.      A Clockwork Orange(1971)
      86.      Lawrence of Arabia(1962)
      87.      Eternal Sunshine of the Spotless Mind(2004)
      88.      Double Indemnity(1944)
      89.      Taxi Driver(1976)
      90.      2001: A Space Odyssey(1968)
      91.      3 Idiots(2009)
      92.      Singin' in the Rain(1952)
      93.      Toy Story(1995)
      94.      Full Metal Jacket(1987)
      95.      To Kill a Mockingbird(1962)
      96.      Inglourious Basterds(2009)
      97.      Ladri di biciclette(1948)
      98.      The Sting(1973)
      99.      The Kid(1921)
      100.      Toy Story 3(2010)
      101.      Snatch(2000)
      102.      Good Will Hunting(1997)
      103.      Jagten(2012)
      104.      Monty Python and the Holy Grail(1975)
      105.      Per qualche dollaro in più(1965)
      106.      Scarface(1983)
      107.      L.A. Confidential(1997)
      108.      The Apartment(1960)
      109.      Metropolis(1927)
      110.      Jodaeiye Nader az Simin(2011)
      111.      Rashômon(1950)
      112.      Indiana Jones and the Last Crusade(1989)
      113.      Up(2009)
      114.      Yôjinbô(1961)
      115.      All About Eve(1950)
      116.      Batman Begins(2005)
      117.      Some Like It Hot(1959)
      118.      Unforgiven(1992)
      119.      The Treasure of the Sierra Madre(1948)
      120.      Der Untergang(2004)
      121.      Die Hard(1988)
      122.      Heat(1995)
      123.      Babam ve Oglum(2005)
      124.      Raging Bull(1980)
      125.      Ikiru(1952)
      126.      The Great Escape(1963)
      127.      The Third Man(1949)
      128.      Incendies(2010)
      129.      Bacheha-Ye aseman(1997)
      130.      Pan's Labyrinth(2006)
      131.      Chinatown(1974)
      132.      Tonari no Totoro(1988)
"      133.      Three Billboards Outside Ebbing, Missouri(2017)"
      134.      Judgment at Nuremberg(1961)
      135.      Ran(1985)
      136.      El secreto de sus ojos(2009)
      137.      The Gold Rush(1925)
      138.      Hauru no ugoku shiro(2004)
      139.      The Bridge on the River Kwai(1957)
      140.      On the Waterfront(1954)
"      141.      Lock, Stock and Two Smoking Barrels(1998)"
      142.      Inside Out(2015)
      143.      A Beautiful Mind(2001)
      144.      Det sjunde inseglet(1957)
      145.      Casino(1995)
      146.      Room(2015)
      147.      Mr. Smith Goes to Washington(1939)
      148.      The Elephant Man(1980)
      149.      The Wolf of Wall Street(2013)
      150.      V for Vendetta(2005)
      151.      Blade Runner(1982)
      152.      Warrior(2011)
      153.      Smultronstället(1957)
      154.      The General(1926)
      155.      Dial M for Murder(1954)
      156.      Trainspotting(1996)
      157.      Sherlock Jr.(1924)
      158.      Gone with the Wind(1939)
      159.      No Country for Old Men(2007)
      160.      The Sixth Sense(1999)
      161.      Gran Torino(2008)
      162.      There Will Be Blood(2007)
      163.      Fargo(1996)
      164.      The Deer Hunter(1978)
      165.      The Thing(1982)
      166.      Finding Nemo(2003)
      167.      The Big Lebowski(1998)
      168.      Idi i smotri(1985)
      169.      Cool Hand Luke(1967)
      170.      Kill Bill: Vol. 1(2003)
      171.      Rebecca(1940)
      172.      Shutter Island(2010)
      173.      Sunrise: A Song of Two Humans(1927)
      174.      Tôkyô monogatari(1953)
      175.      Hacksaw Ridge(2016)
      176.      Mary and Max(2009)
      177.      How to Train Your Dragon(2010)
      178.      Gone Girl(2014)
      179.      Eskiya(1996)
      180.      Into the Wild(2007)
      181.      Relatos salvajes(2014)
      182.      Life of Brian(1979)
      183.      Andrei Rublev(1966)
      184.      It Happened One Night(1934)
      185.      Platoon(1986)
      186.      Rang De Basanti(2006)
      187.      In the Name of the Father(1993)
      188.      Stand by Me(1986)
      189.      Network(1976)
      190.      Jurassic Park(1993)
      191.      The Grand Budapest Hotel(2014)
      192.      Hotel Rwanda(2004)
      193.      La passion de Jeanne d'Arc(1928)
      194.      Stalker(1979)
